Date,CommodityContract,Value (Rs. In Lakhs),Traded Contracts (in Lots),SegmentName
15-Apr-15,GOLD         ,359350.55,13525,PRECIOUS METAL PRODUCTS
16-Apr-15,GOLD         ,368011.34,13769,PRECIOUS METAL PRODUCTS
17-Apr-15,GOLD         ,308303.76,11518,PRECIOUS METAL PRODUCTS
20-Apr-15,GOLD         ,336239.11,12510,PRECIOUS METAL PRODUCTS
21-Apr-15,GOLD         ,275965.36,10272,PRECIOUS METAL PRODUCTS
22-Apr-15,GOLD         ,381913.92,14246,PRECIOUS METAL PRODUCTS
23-Apr-15,GOLD         ,329788.59,12312,PRECIOUS METAL PRODUCTS
24-Apr-15,GOLD         ,415306.19,15488,PRECIOUS METAL PRODUCTS
27-Apr-15,GOLD         ,442855.76,16470,PRECIOUS METAL PRODUCTS
28-Apr-15,GOLD         ,371369,13704,PRECIOUS METAL PRODUCTS
29-Apr-15,GOLD         ,362758.03,13347,PRECIOUS METAL PRODUCTS
30-Apr-15,GOLD         ,533124.51,19756,PRECIOUS METAL PRODUCTS
1-May-15,GOLD         ,215066.99,8084,PRECIOUS METAL PRODUCTS
4-May-15,GOLD         ,210210.35,7829,PRECIOUS METAL PRODUCTS
5-May-15,GOLD         ,385348.42,14326,PRECIOUS METAL PRODUCTS
6-May-15,GOLD         ,359491.92,13342,PRECIOUS METAL PRODUCTS
7-May-15,GOLD         ,405482.53,15046,PRECIOUS METAL PRODUCTS
8-May-15,GOLD         ,373307.36,13876,PRECIOUS METAL PRODUCTS
11-May-15,GOLD         ,369768.89,13761,PRECIOUS METAL PRODUCTS
12-May-15,GOLD         ,552139.48,20394,PRECIOUS METAL PRODUCTS
13-May-15,GOLD         ,601942.49,22079,PRECIOUS METAL PRODUCTS
14-May-15,GOLD         ,435984.94,15866,PRECIOUS METAL PRODUCTS
15-May-15,GOLD         ,398641.67,14552,PRECIOUS METAL PRODUCTS
18-May-15,GOLD         ,326464.84,11814,PRECIOUS METAL PRODUCTS
19-May-15,GOLD         ,499023.07,18197,PRECIOUS METAL PRODUCTS
20-May-15,GOLD         ,333457.13,12225,PRECIOUS METAL PRODUCTS
21-May-15,GOLD         ,360906.1,13262,PRECIOUS METAL PRODUCTS
22-May-15,GOLD         ,342791.07,12609,PRECIOUS METAL PRODUCTS
25-May-15,GOLD         ,166417.31,6129,PRECIOUS METAL PRODUCTS
26-May-15,GOLD         ,413420.26,15295,PRECIOUS METAL PRODUCTS
27-May-15,GOLD         ,338500.82,12572,PRECIOUS METAL PRODUCTS
28-May-15,GOLD         ,379239.15,14112,PRECIOUS METAL PRODUCTS
29-May-15,GOLD         ,396074.63,14705,PRECIOUS METAL PRODUCTS
1-Jun-15,GOLD         ,449068.94,16599,PRECIOUS METAL PRODUCTS
2-Jun-15,GOLD         ,285155.13,10519,PRECIOUS METAL PRODUCTS
3-Jun-15,GOLD         ,314755.4,11604,PRECIOUS METAL PRODUCTS
4-Jun-15,GOLD         ,427170.54,15836,PRECIOUS METAL PRODUCTS
5-Jun-15,GOLD         ,385592.45,14423,PRECIOUS METAL PRODUCTS
8-Jun-15,GOLD         ,242987.29,9067,PRECIOUS METAL PRODUCTS
9-Jun-15,GOLD         ,322294.98,12004,PRECIOUS METAL PRODUCTS
10-Jun-15,GOLD         ,295085.52,10945,PRECIOUS METAL PRODUCTS
11-Jun-15,GOLD         ,304858.67,11337,PRECIOUS METAL PRODUCTS
12-Jun-15,GOLD         ,246386.53,9151,PRECIOUS METAL PRODUCTS
15-Jun-15,GOLD         ,356881.53,13261,PRECIOUS METAL PRODUCTS
16-Jun-15,GOLD         ,269143.56,9976,PRECIOUS METAL PRODUCTS
17-Jun-15,GOLD         ,234697.83,8734,PRECIOUS METAL PRODUCTS
18-Jun-15,GOLD         ,395597.2,14597,PRECIOUS METAL PRODUCTS
19-Jun-15,GOLD         ,242087.89,8928,PRECIOUS METAL PRODUCTS
22-Jun-15,GOLD         ,324994.45,12099,PRECIOUS METAL PRODUCTS
23-Jun-15,GOLD         ,343312.68,12859,PRECIOUS METAL PRODUCTS
24-Jun-15,GOLD         ,315770.31,11881,PRECIOUS METAL PRODUCTS
25-Jun-15,GOLD         ,256313.11,9662,PRECIOUS METAL PRODUCTS
26-Jun-15,GOLD         ,343209.12,12947,PRECIOUS METAL PRODUCTS
29-Jun-15,GOLD         ,380011.07,14208,PRECIOUS METAL PRODUCTS
